Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8618	Non-nullable property 'Notes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Category.cs	30	
Warning (active)	CS8618	Non-nullable property 'Operator' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Category.cs	36	
Warning (active)	CS8618	Non-nullable property 'PhoneNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	13	
Warning (active)	CS8618	Non-nullable property 'SerialNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	15	
Warning (active)	CS8618	Non-nullable property 'Status' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	17	
Warning (active)	CS8618	Non-nullable property 'WalletId' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	27	
Warning (active)	CS8618	Non-nullable property 'Notes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	29	
Warning (active)	CS8618	Non-nullable property 'Category' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	35	
Warning (active)	CS8618	Non-nullable property 'AssignedTo' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Line.cs	37	
Warning (active)	CS8618	Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Operator.cs	12	
Warning (active)	CS8618	Non-nullable property 'ColorHex' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Operator.cs	15	
Warning (active)	CS8618	Non-nullable property 'IconPath' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Operator.cs	17	
Warning (active)	CS8618	Non-nullable property 'Username' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\User.cs	12	
Warning (active)	CS8618	Non-nullable property 'PasswordHash' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\User.cs	15	
